Order Date,Ship Date,Ship Mode,State/Province,Region,Factory,Shipping Lead Time,Route,Sales,Units,Gross Profit
2023-09-07,2023-09-13,Standard,CT,Northeast,Lot's O' Nuts,6,Lot's O' Nuts → CT,768.45,253,388.95000000000005
2023-03-22,2023-03-28,Standard,NV,West,The Other Factory,6,The Other Factory → NV,740.24,325,447.74
2023-05-26,2023-06-02,Standard,CA,West,Sugar Shack,7,Sugar Shack → CA,299.46,188,205.45999999999998
2023-10-26,2023-10-31,Standard,NC,South,Lot's O' Nuts,5,Lot's O' Nuts → NC,565.85,192,277.85
2023-01-29,2023-02-01,Standard,OH,Midwest,Wicked Choccy's,3,Wicked Choccy's → OH,1234.74,476,663.54
2023-06-06,2023-06-11,Standard,FL,South,Lot's O' Nuts,5,Lot's O' Nuts → FL,86.32,29,42.81999999999999
2023-08-05,2023-08-11,Standard,MA,Northeast,The Other Factory,6,The Other Factory → MA,618.82,311,338.9200000000001
2023-06-12,2023-06-18,Standard,MA,Northeast,Secret Factory,6,Secret Factory → MA,158.32,61,97.32
2023-04-16,2023-04-19,Expedited,CT,Northeast,Sugar Shack,3,Sugar Shack → CT,145.77,95,98.27000000000001
2023-07-06,2023-07-09,Standard,IN,Midwest,Secret Factory,3,Secret Factory → IN,1177.07,440,737.0699999999999
2023-04-20,2023-04-29,Standard,TX,South,Sugar Shack,9,Sugar Shack → TX,517.47,329,352.97
2023-02-17,2023-02-20,Standard,AZ,West,The Other Factory,3,The Other Factory → AZ,699.76,300,429.76
2023-09-01,2023-09-04,Expedited,MI,Midwest,Secret Factory,3,Secret Factory → MI,710.75,268,442.75
2023-08-10,2023-08-15,Standard,FL,South,The Other Factory,5,The Other Factory → FL,726.02,329,429.91999999999996
2023-12-10,2023-12-14,Standard,IL,Midwest,The Other Factory,4,The Other Factory → IL,670.89,305,396.39
2023-12-05,2023-12-09,Expedited,VA,South,Secret Factory,4,Secret Factory → VA,1236.13,488,748.1300000000001
2023-11-17,2023-11-21,Standard,MI,Midwest,Lot's O' Nuts,4,Lot's O' Nuts → MI,273.86,87,143.36
2023-06-03,2023-06-04,Expedited,MA,Northeast,Secret Factory,1,Secret Factory → MA,785.49,334,451.49
2023-07-31,2023-08-09,Standard,FL,South,Sugar Shack,9,Sugar Shack → FL,182.7,132,116.69999999999999
2023-04-09,2023-04-15,Standard,MI,Midwest,Lot's O' Nuts,6,Lot's O' Nuts → MI,697.92,226,358.91999999999996
2023-01-19,2023-01-24,Standard,MI,Midwest,Wicked Choccy's,5,Wicked Choccy's → MI,1097.83,414,601.03
2023-12-04,2023-12-08,Expedited,IL,Midwest,The Other Factory,4,The Other Factory → IL,815.39,410,446.39
2023-02-12,2023-02-20,Expedited,TX,South,Sugar Shack,8,Sugar Shack → TX,546.17,353,369.66999999999996
2023-02-16,2023-02-19,Standard,OH,Midwest,Secret Factory,3,Secret Factory → OH,715.24,277,438.24
2023-10-25,2023-10-27,Expedited,NC,South,The Other Factory,2,The Other Factory → NC,644.72,317,359.42
2023-06-10,2023-06-12,Expedited,PA,Northeast,Sugar Shack,2,Sugar Shack → PA,114.71,83,73.21
2023-04-20,2023-04-23,Standard,NJ,Northeast,Sugar Shack,3,Sugar Shack → NJ,394.12,261,263.62
2023-12-25,2023-12-29,Standard,VA,South,Lot's O' Nuts,4,Lot's O' Nuts → VA,490.6,152,262.6
2023-03-16,2023-03-17,Expedited,MA,Northeast,Sugar Shack,1,Sugar Shack → MA,557.61,340,387.61
2023-11-07,2023-11-13,Standard,WA,West,Lot's O' Nuts,6,Lot's O' Nuts → WA,518.01,168,266.01
2023-12-25,2023-12-29,Expedited,AZ,West,Sugar Shack,4,Sugar Shack → AZ,281.29,208,177.29000000000002
2023-07-21,2023-07-27,Expedited,TX,South,Sugar Shack,6,Sugar Shack → TX,188.12,117,129.62
2023-03-24,2023-03-27,Expedited,NC,South,Secret Factory,3,Secret Factory → NC,1037.39,453,584.3900000000001
2023-09-09,2023-09-10,Expedited,MA,Northeast,Secret Factory,1,Secret Factory → MA,1006.63,432,574.63
2023-05-14,2023-05-19,Standard,OR,West,The Other Factory,5,The Other Factory → OR,553.19,242,335.39000000000004
2023-01-27,2023-01-31,Standard,PA,Northeast,Wicked Choccy's,4,Wicked Choccy's → PA,795.32,331,398.12000000000006
2023-10-22,2023-10-26,Standard,WA,West,Lot's O' Nuts,4,Lot's O' Nuts → WA,1353.99,443,689.49
2023-07-30,2023-08-01,Expedited,NJ,Northeast,Sugar Shack,2,Sugar Shack → NJ,200.49,143,128.99
2023-10-31,2023-11-08,Standard,FL,South,Sugar Shack,8,Sugar Shack → FL,340.33,211,234.82999999999998
2023-10-20,2023-10-23,Expedited,CA,West,Wicked Choccy's,3,Wicked Choccy's → CA,577.89,246,282.69
2023-12-26,2023-12-31,Standard,NV,West,Wicked Choccy's,5,Wicked Choccy's → NV,197.33,86,94.13000000000001
2023-07-08,2023-07-16,Expedited,CA,West,Wicked Choccy's,8,Wicked Choccy's → CA,1120.09,433,600.4899999999999
2023-03-02,2023-03-05,Expedited,OH,Midwest,Wicked Choccy's,3,Wicked Choccy's → OH,411.85,157,223.45000000000002
2023-07-15,2023-07-20,Standard,PA,Northeast,Wicked Choccy's,5,Wicked Choccy's → PA,988.84,382,530.44
2023-08-03,2023-08-08,Standard,PA,Northeast,Wicked Choccy's,5,Wicked Choccy's → PA,332.65,130,176.64999999999998
2023-05-08,2023-05-15,Standard,NY,Northeast,Sugar Shack,7,Sugar Shack → NY,534.81,364,352.80999999999995
2023-04-19,2023-04-22,Standard,CT,Northeast,Secret Factory,3,Secret Factory → CT,672.42,295,377.41999999999996
2023-06-20,2023-06-21,Expedited,MA,Northeast,Wicked Choccy's,1,Wicked Choccy's → MA,28.52,12,14.12
2023-11-14,2023-11-18,Standard,NC,South,Secret Factory,4,Secret Factory → NC,1178.88,466,712.8800000000001
2023-10-25,2023-10-30,Standard,FL,South,Wicked Choccy's,5,Wicked Choccy's → FL,1140.18,459,589.3800000000001
2023-02-15,2023-02-20,Standard,PA,Northeast,Sugar Shack,5,Sugar Shack → PA,52.59,32,36.59
2023-09-13,2023-09-22,Standard,NC,South,Sugar Shack,9,Sugar Shack → NC,395.63,274,258.63
2023-03-26,2023-04-01,Standard,PA,Northeast,Sugar Shack,6,Sugar Shack → PA,52.05,37,33.55
2023-01-28,2023-02-01,Standard,IL,Midwest,Wicked Choccy's,4,Wicked Choccy's → IL,921.4,371,476.2
2023-03-01,2023-03-07,Standard,NV,West,Secret Factory,6,Secret Factory → NV,609.14,244,365.14
2023-03-17,2023-03-22,Standard,TX,South,Lot's O' Nuts,5,Lot's O' Nuts → TX,326.5,102,173.5
2023-09-18,2023-09-19,Expedited,WI,Midwest,Sugar Shack,1,Sugar Shack → WI,440.84,279,301.34
2023-04-03,2023-04-04,Expedited,WA,West,Secret Factory,1,Secret Factory → WA,1120.25,464,656.25
2023-05-26,2023-05-29,Standard,MA,Northeast,Lot's O' Nuts,3,Lot's O' Nuts → MA,1267.63,438,610.6300000000001
2023-01-15,2023-01-20,Standard,NJ,Northeast,Lot's O' Nuts,5,Lot's O' Nuts → NJ,971.77,314,500.77
2023-06-18,2023-06-20,Expedited,MA,Northeast,Lot's O' Nuts,2,Lot's O' Nuts → MA,379.72,118,202.72000000000003
2023-11-26,2023-12-02,Expedited,TX,South,Sugar Shack,6,Sugar Shack → TX,305.28,214,198.27999999999997
2023-05-03,2023-05-09,Expedited,CA,West,Secret Factory,6,Secret Factory → CA,1002.54,409,593.54
2023-11-28,2023-12-04,Standard,OR,West,Wicked Choccy's,6,Wicked Choccy's → OR,1024.13,386,560.9300000000001
2023-06-08,2023-06-13,Standard,MI,Midwest,The Other Factory,5,The Other Factory → MI,562.48,272,317.68
2023-08-17,2023-08-23,Standard,MA,Northeast,Secret Factory,6,Secret Factory → MA,147.18,56,91.18
2023-07-08,2023-07-11,Standard,IN,Midwest,The Other Factory,3,The Other Factory → IN,66.18,30,39.18000000000001
2023-08-26,2023-08-29,Standard,IN,Midwest,Wicked Choccy's,3,Wicked Choccy's → IN,392.49,158,202.89000000000001
2023-02-10,2023-02-13,Expedited,FL,South,Secret Factory,3,Secret Factory → FL,1044.7,440,604.7
2023-08-07,2023-08-10,Standard,AZ,West,Sugar Shack,3,Sugar Shack → AZ,375.98,272,239.98000000000002
2023-08-06,2023-08-11,Standard,NV,West,Secret Factory,5,Secret Factory → NV,454.09,191,263.09
2023-02-11,2023-02-17,Expedited,CA,West,The Other Factory,6,The Other Factory → CA,848.79,412,477.98999999999995
2023-07-21,2023-07-24,Expedited,NV,West,Lot's O' Nuts,3,Lot's O' Nuts → NV,518.9,170,263.9
2023-08-21,2023-08-23,Expedited,GA,South,Secret Factory,2,Secret Factory → GA,276.42,118,158.42000000000002
2023-11-06,2023-11-09,Standard,NV,West,Sugar Shack,3,Sugar Shack → NV,293.62,212,187.62
2023-03-29,2023-04-02,Expedited,NJ,Northeast,Secret Factory,4,Secret Factory → NJ,422.28,165,257.28
2023-11-12,2023-11-16,Standard,MA,Northeast,Sugar Shack,4,Sugar Shack → MA,23.92,17,15.420000000000002
2023-01-09,2023-01-13,Standard,WA,West,Wicked Choccy's,4,Wicked Choccy's → WA,810.84,342,400.44000000000005
2023-11-17,2023-11-23,Standard,IL,Midwest,The Other Factory,6,The Other Factory → IL,186.03,85,109.53
2023-01-12,2023-01-16,Expedited,OH,Midwest,Lot's O' Nuts,4,Lot's O' Nuts → OH,769.59,258,382.59000000000003
2023-08-19,2023-08-25,Standard,OH,Midwest,The Other Factory,6,The Other Factory → OH,76.57,36,44.169999999999995
2023-02-22,2023-02-25,Expedited,NJ,Northeast,Secret Factory,3,Secret Factory → NJ,69.82,28,41.81999999999999
2023-09-06,2023-09-07,Expedited,PA,Northeast,The Other Factory,1,The Other Factory → PA,504.8,226,301.4
2023-10-11,2023-10-12,Expedited,NC,South,Lot's O' Nuts,1,Lot's O' Nuts → NC,808.36,263,413.86
2023-11-27,2023-12-02,Standard,NJ,Northeast,Sugar Shack,5,Sugar Shack → NJ,536.32,381,345.82000000000005
2023-06-26,2023-07-01,Standard,WI,Midwest,Secret Factory,5,Secret Factory → WI,1227.06,481,746.06
2023-12-03,2023-12-07,Expedited,MI,Midwest,Secret Factory,4,Secret Factory → MI,594.64,223,371.64
2023-12-11,2023-12-16,Standard,PA,Northeast,Sugar Shack,5,Sugar Shack → PA,571.64,363,390.14
2023-12-08,2023-12-14,Standard,OH,Midwest,Secret Factory,6,Secret Factory → OH,161.45,61,100.44999999999999
2023-09-10,2023-09-13,Standard,OH,Midwest,Sugar Shack,3,Sugar Shack → OH,311.55,193,215.05
2023-07-02,2023-07-05,Standard,WI,Midwest,Wicked Choccy's,3,Wicked Choccy's → WI,448.69,182,230.29
2023-11-13,2023-11-18,Standard,AZ,West,Wicked Choccy's,5,Wicked Choccy's → AZ,486.21,184,265.40999999999997
2023-01-24,2023-01-25,Expedited,FL,South,The Other Factory,1,The Other Factory → FL,742.81,371,408.90999999999997
2023-08-13,2023-08-15,Expedited,CA,West,Secret Factory,2,Secret Factory → CA,619.43,269,350.42999999999995
2023-11-19,2023-11-24,Standard,MI,Midwest,Lot's O' Nuts,5,Lot's O' Nuts → MI,1102.95,372,544.95
2023-09-17,2023-09-22,Standard,WA,West,Secret Factory,5,Secret Factory → WA,994.8,429,565.8
2023-04-14,2023-04-23,Standard,NY,Northeast,Secret Factory,9,Secret Factory → NY,390.39,156,234.39
2023-02-13,2023-02-20,Standard,NC,South,Sugar Shack,7,Sugar Shack → NC,622.54,395,425.03999999999996
2023-08-04,2023-08-10,Standard,IN,Midwest,Wicked Choccy's,6,Wicked Choccy's → IN,1162.83,469,600.03
2023-09-22,2023-09-25,Standard,NV,West,Sugar Shack,3,Sugar Shack → NV,600.14,377,411.64
2023-02-05,2023-02-09,Standard,GA,South,Lot's O' Nuts,4,Lot's O' Nuts → GA,634.96,232,286.96000000000004
2023-01-19,2023-01-23,Expedited,AZ,West,Wicked Choccy's,4,Wicked Choccy's → AZ,578.97,215,320.97
2023-12-25,2023-12-26,Expedited,GA,South,The Other Factory,1,The Other Factory → GA,910.64,433,520.94
2023-09-28,2023-10-02,Standard,IN,Midwest,The Other Factory,4,The Other Factory → IN,1029.87,464,612.2699999999999
2023-11-13,2023-11-16,Expedited,NC,South,Secret Factory,3,Secret Factory → NC,120.23,53,67.23
2023-06-21,2023-06-24,Expedited,WI,Midwest,Secret Factory,3,Secret Factory → WI,273.27,119,154.26999999999998
2023-10-10,2023-10-18,Standard,FL,South,Sugar Shack,8,Sugar Shack → FL,689.86,436,471.86
2023-08-05,2023-08-11,Expedited,CA,West,The Other Factory,6,The Other Factory → CA,146.07,73,80.36999999999999
2023-11-30,2023-12-03,Standard,MA,Northeast,Lot's O' Nuts,3,Lot's O' Nuts → MA,702.62,242,339.62
2023-05-01,2023-05-05,Standard,MI,Midwest,The Other Factory,4,The Other Factory → MI,804.81,375,467.30999999999995
2023-05-07,2023-05-12,Standard,VA,South,Lot's O' Nuts,5,Lot's O' Nuts → VA,667.63,242,304.63
2023-12-31,2024-01-08,Standard,NY,Northeast,Secret Factory,8,Secret Factory → NY,596.42,253,343.41999999999996
2023-02-09,2023-02-15,Standard,CT,Northeast,Sugar Shack,6,Sugar Shack → CT,651.67,456,423.66999999999996
2023-09-13,2023-09-17,Expedited,NJ,Northeast,Secret Factory,4,Secret Factory → NJ,1004.84,431,573.84
2023-09-16,2023-09-19,Standard,NJ,Northeast,Wicked Choccy's,3,Wicked Choccy's → NJ,860.06,365,422.05999999999995
2023-08-31,2023-09-03,Standard,WI,Midwest,Lot's O' Nuts,3,Lot's O' Nuts → WI,1021.22,318,544.22
2023-02-26,2023-03-02,Standard,VA,South,Lot's O' Nuts,4,Lot's O' Nuts → VA,204.6,70,99.6
2023-07-11,2023-07-18,Standard,NC,South,Sugar Shack,7,Sugar Shack → NC,627.55,411,422.04999999999995
2023-01-25,2023-02-02,Standard,FL,South,Sugar Shack,8,Sugar Shack → FL,109.03,72,73.03
2023-02-04,2023-02-10,Standard,NJ,Northeast,Lot's O' Nuts,6,Lot's O' Nuts → NJ,1364.27,470,659.27
2023-07-13,2023-07-19,Standard,OH,Midwest,Secret Factory,6,Secret Factory → OH,987.51,399,588.51
2023-08-18,2023-08-22,Expedited,TX,South,Wicked Choccy's,4,Wicked Choccy's → TX,492.21,208,242.60999999999999
2023-07-22,2023-07-23,Expedited,NV,West,Sugar Shack,1,Sugar Shack → NV,634.06,453,407.55999999999995
2023-01-13,2023-01-16,Standard,VA,South,The Other Factory,3,The Other Factory → VA,259.23,108,162.03000000000003
2023-10-05,2023-10-11,Standard,AZ,West,The Other Factory,6,The Other Factory → AZ,634.02,267,393.71999999999997
2023-03-03,2023-03-07,Standard,IL,Midwest,The Other Factory,4,The Other Factory → IL,316.58,135,195.07999999999998
2023-10-24,2023-10-30,Standard,AZ,West,Secret Factory,6,Secret Factory → AZ,706.74,311,395.74
2023-01-12,2023-01-17,Standard,PA,Northeast,Sugar Shack,5,Sugar Shack → PA,292.57,205,190.07
2023-02-28,2023-03-05,Standard,MI,Midwest,Lot's O' Nuts,5,Lot's O' Nuts → MI,1109.77,403,505.27
2023-06-07,2023-06-12,Standard,IL,Midwest,Secret Factory,5,Secret Factory → IL,230.89,102,128.89
2023-01-30,2023-02-08,Standard,NY,Northeast,Sugar Shack,9,Sugar Shack → NY,207.7,142,136.7
2023-03-03,2023-03-05,Expedited,OH,Midwest,Lot's O' Nuts,2,Lot's O' Nuts → OH,787.36,262,394.36
2023-09-16,2023-09-22,Standard,OR,West,Secret Factory,6,Secret Factory → OR,718.89,293,425.89
2023-09-05,2023-09-06,Expedited,PA,Northeast,Lot's O' Nuts,1,Lot's O' Nuts → PA,445.77,147,225.26999999999998
2023-10-28,2023-11-01,Standard,WI,Midwest,Lot's O' Nuts,4,Lot's O' Nuts → WI,501.76,165,254.26
2023-08-17,2023-08-21,Standard,OH,Midwest,Lot's O' Nuts,4,Lot's O' Nuts → OH,1167.31,410,552.31
2023-08-05,2023-08-14,Standard,NY,Northeast,The Other Factory,9,The Other Factory → NY,828.25,344,518.65
2023-01-01,2023-01-07,Standard,MA,Northeast,Lot's O' Nuts,6,Lot's O' Nuts → MA,605.83,189,322.33000000000004
2023-04-19,2023-04-22,Standard,TX,South,The Other Factory,3,The Other Factory → TX,329.17,163,182.47000000000003
2023-12-24,2023-12-28,Expedited,WI,Midwest,Lot's O' Nuts,4,Lot's O' Nuts → WI,358.75,117,183.25
2023-06-12,2023-06-21,Standard,NC,South,Sugar Shack,9,Sugar Shack → NC,174.09,117,115.59
2023-11-03,2023-11-06,Standard,WA,West,Sugar Shack,3,Sugar Shack → WA,479.24,321,318.74
2023-01-05,2023-01-09,Expedited,CT,Northeast,Wicked Choccy's,4,Wicked Choccy's → CT,978.56,400,498.55999999999995
2023-02-11,2023-02-16,Standard,NV,West,Lot's O' Nuts,5,Lot's O' Nuts → NV,1246.4,426,607.4000000000001
2023-11-04,2023-11-05,Expedited,PA,Northeast,Sugar Shack,1,Sugar Shack → PA,108.68,73,72.18
2023-04-09,2023-04-12,Expedited,WA,West,Secret Factory,3,Secret Factory → WA,970.43,358,612.43
2023-07-03,2023-07-07,Standard,AZ,West,Wicked Choccy's,4,Wicked Choccy's → AZ,353.47,129,198.67000000000002
2023-07-05,2023-07-07,Expedited,NC,South,Lot's O' Nuts,2,Lot's O' Nuts → NC,36.63,13,17.130000000000003
2023-11-23,2023-11-29,Standard,OR,West,Secret Factory,6,Secret Factory → OR,245.01,97,148.01
2023-12-04,2023-12-07,Standard,IL,Midwest,The Other Factory,3,The Other Factory → IL,157.07,75,89.57
2023-10-19,2023-10-20,Expedited,FL,South,Wicked Choccy's,1,Wicked Choccy's → FL,942.35,364,505.55
2023-11-11,2023-11-15,Expedited,NY,Northeast,Sugar Shack,4,Sugar Shack → NY,370.36,231,254.86
2023-07-28,2023-08-02,Standard,AZ,West,Sugar Shack,5,Sugar Shack → AZ,432.29,274,295.29
2023-04-25,2023-04-30,Standard,NC,South,Lot's O' Nuts,5,Lot's O' Nuts → NC,35.22,12,17.22
2023-06-21,2023-06-25,Expedited,WA,West,Lot's O' Nuts,4,Lot's O' Nuts → WA,1372.33,500,622.3299999999999
2023-05-08,2023-05-11,Standard,MI,Midwest,Wicked Choccy's,3,Wicked Choccy's → MI,59.76,24,30.959999999999997
2023-01-13,2023-01-19,Standard,GA,South,The Other Factory,6,The Other Factory → GA,317.05,132,198.25
2023-01-28,2023-02-01,Expedited,IL,Midwest,Sugar Shack,4,Sugar Shack → IL,552.86,401,352.36
2023-08-17,2023-08-22,Expedited,CA,West,The Other Factory,5,The Other Factory → CA,403.18,170,250.18
2023-12-22,2023-12-26,Expedited,IL,Midwest,Lot's O' Nuts,4,Lot's O' Nuts → IL,109.47,38,52.47
2023-11-17,2023-11-23,Standard,CA,West,Secret Factory,6,Secret Factory → CA,1086.12,445,641.1199999999999
2023-02-19,2023-02-20,Expedited,PA,Northeast,The Other Factory,1,The Other Factory → PA,520.04,242,302.23999999999995
2023-08-08,2023-08-11,Standard,OR,West,The Other Factory,3,The Other Factory → OR,534.23,242,316.43
2023-10-28,2023-11-02,Standard,CA,West,Wicked Choccy's,5,Wicked Choccy's → CA,1199.81,473,632.2099999999999
2023-11-23,2023-11-29,Standard,GA,South,The Other Factory,6,The Other Factory → GA,219.13,105,124.63
2023-01-23,2023-01-28,Standard,MI,Midwest,Lot's O' Nuts,5,Lot's O' Nuts → MI,515.48,169,261.98
2023-10-05,2023-10-10,Standard,IN,Midwest,Wicked Choccy's,5,Wicked Choccy's → IN,387.07,159,196.26999999999998
2023-01-05,2023-01-08,Standard,IL,Midwest,The Other Factory,3,The Other Factory → IL,481.67,226,278.27
2023-04-13,2023-04-19,Standard,OR,West,Wicked Choccy's,6,Wicked Choccy's → OR,947.51,365,509.51
2023-08-28,2023-09-02,Standard,VA,South,The Other Factory,5,The Other Factory → VA,686.35,325,393.85
2023-06-18,2023-06-19,Expedited,NV,West,Wicked Choccy's,1,Wicked Choccy's → NV,620.6,263,305.0
2023-01-02,2023-01-06,Standard,IN,Midwest,Wicked Choccy's,4,Wicked Choccy's → IN,670.03,256,362.83
2023-06-19,2023-06-22,Standard,IN,Midwest,Secret Factory,3,Secret Factory → IN,439.71,195,244.70999999999998
2023-07-03,2023-07-07,Standard,WA,West,Lot's O' Nuts,4,Lot's O' Nuts → WA,1016.12,333,516.62
2023-07-04,2023-07-08,Standard,WA,West,Lot's O' Nuts,4,Lot's O' Nuts → WA,394.21,122,211.20999999999998
2023-03-31,2023-04-04,Standard,OH,Midwest,Sugar Shack,4,Sugar Shack → OH,629.98,441,409.48
2023-02-21,2023-02-24,Standard,IN,Midwest,Lot's O' Nuts,3,Lot's O' Nuts → IN,596.89,183,322.39
2023-06-06,2023-06-08,Expedited,MI,Midwest,Secret Factory,2,Secret Factory → MI,1234.11,491,743.1099999999999
2023-11-16,2023-11-22,Standard,CA,West,Secret Factory,6,Secret Factory → CA,271.76,108,163.76
2023-12-22,2023-12-28,Standard,VA,South,Sugar Shack,6,Sugar Shack → VA,613.92,400,413.91999999999996
2023-04-07,2023-04-10,Standard,FL,South,The Other Factory,3,The Other Factory → FL,773.58,332,474.78000000000003
2023-03-06,2023-03-10,Expedited,PA,Northeast,The Other Factory,4,The Other Factory → PA,940.58,414,567.98
2023-02-03,2023-02-09,Standard,CT,Northeast,Wicked Choccy's,6,Wicked Choccy's → CT,243.5,101,122.3
2023-07-11,2023-07-17,Standard,NJ,Northeast,The Other Factory,6,The Other Factory → NJ,801.47,336,499.07000000000005
2023-10-26,2023-10-30,Expedited,OH,Midwest,Lot's O' Nuts,4,Lot's O' Nuts → OH,1281.12,451,604.6199999999999
2023-04-22,2023-04-27,Standard,NJ,Northeast,Sugar Shack,5,Sugar Shack → NJ,212.12,140,142.12
2023-03-10,2023-03-14,Standard,NC,South,Lot's O' Nuts,4,Lot's O' Nuts → NC,839.2,308,377.20000000000005
2023-09-20,2023-09-26,Standard,NC,South,The Other Factory,6,The Other Factory → NC,469.03,219,271.92999999999995
2023-09-12,2023-09-21,Standard,NC,South,Sugar Shack,9,Sugar Shack → NC,223.82,145,151.32
2023-07-03,2023-07-06,Standard,VA,South,Lot's O' Nuts,3,Lot's O' Nuts → VA,1180.73,412,562.73
2023-04-27,2023-05-04,Standard,CA,West,Lot's O' Nuts,7,Lot's O' Nuts → CA,341.56,110,176.56
2023-05-09,2023-05-15,Expedited,FL,South,Sugar Shack,6,Sugar Shack → FL,22.13,14,15.129999999999999
2023-05-25,2023-05-26,Expedited,NJ,Northeast,Sugar Shack,1,Sugar Shack → NJ,388.1,251,262.6
2023-03-18,2023-03-20,Expedited,OH,Midwest,Secret Factory,2,Secret Factory → OH,596.45,252,344.45000000000005
2023-10-28,2023-10-31,Standard,NJ,Northeast,The Other Factory,3,The Other Factory → NJ,399.87,170,246.87
2023-08-08,2023-08-11,Standard,IN,Midwest,Secret Factory,3,Secret Factory → IN,466.21,201,265.21
2023-03-07,2023-03-10,Expedited,NV,West,Sugar Shack,3,Sugar Shack → NV,259.43,183,167.93
2023-08-06,2023-08-09,Standard,GA,South,Secret Factory,3,Secret Factory → GA,1118.03,482,636.03
2023-06-19,2023-06-25,Standard,NJ,Northeast,The Other Factory,6,The Other Factory → NJ,93.04,42,55.24000000000001
2023-04-07,2023-04-13,Standard,OR,West,Secret Factory,6,Secret Factory → OR,909.01,337,572.01
2023-02-17,2023-02-23,Standard,AZ,West,Wicked Choccy's,6,Wicked Choccy's → AZ,53.9,23,26.299999999999997
2023-02-05,2023-02-08,Standard,FL,South,Secret Factory,3,Secret Factory → FL,551.45,242,309.45000000000005
2023-09-23,2023-09-27,Expedited,MI,Midwest,Lot's O' Nuts,4,Lot's O' Nuts → MI,586.79,210,271.78999999999996
2023-02-26,2023-03-02,Expedited,NJ,Northeast,Wicked Choccy's,4,Wicked Choccy's → NJ,1348.2,499,749.4000000000001
2023-04-16,2023-04-22,Standard,MI,Midwest,Wicked Choccy's,6,Wicked Choccy's → MI,232.22,91,123.02
2023-06-08,2023-06-12,Expedited,WI,Midwest,The Other Factory,4,The Other Factory → WI,312.38,151,176.48
2023-03-15,2023-03-19,Standard,NV,West,Secret Factory,4,Secret Factory → NV,673.63,279,394.63
2023-10-19,2023-10-22,Standard,NJ,Northeast,Secret Factory,3,Secret Factory → NJ,403.98,157,246.98000000000002
2023-08-22,2023-08-31,Standard,NC,South,Sugar Shack,9,Sugar Shack → NC,192.33,137,123.83000000000001
2023-11-13,2023-11-15,Expedited,NJ,Northeast,Secret Factory,2,Secret Factory → NJ,930.09,367,563.09
2023-07-21,2023-07-26,Standard,OH,Midwest,Lot's O' Nuts,5,Lot's O' Nuts → OH,1140.67,351,614.1700000000001
2023-12-24,2023-12-25,Expedited,NJ,Northeast,Wicked Choccy's,1,Wicked Choccy's → NJ,453.08,198,215.48
2023-02-23,2023-02-28,Standard,NC,South,The Other Factory,5,The Other Factory → NC,255.51,116,151.10999999999999
2023-08-25,2023-08-31,Standard,NV,West,Lot's O' Nuts,6,Lot's O' Nuts → NV,1261.86,448,589.8599999999999
2023-01-20,2023-01-22,Expedited,TX,South,Lot's O' Nuts,2,Lot's O' Nuts → TX,549.09,177,283.59000000000003
2023-08-26,2023-09-03,Standard,NY,Northeast,Secret Factory,8,Secret Factory → NY,201.32,81,120.32
2023-05-23,2023-05-27,Standard,IL,Midwest,Wicked Choccy's,4,Wicked Choccy's → IL,369.93,160,177.93
2023-07-20,2023-07-28,Standard,CA,West,Wicked Choccy's,8,Wicked Choccy's → CA,451.42,193,219.82000000000002
2024-01-01,2024-01-04,Standard,IN,Midwest,Lot's O' Nuts,3,Lot's O' Nuts → IN,650.87,209,337.37
2023-08-16,2023-08-20,Expedited,CA,West,Lot's O' Nuts,4,Lot's O' Nuts → CA,652.3,201,350.79999999999995
2023-04-13,2023-04-16,Standard,NV,West,Lot's O' Nuts,3,Lot's O' Nuts → NV,581.0,182,308.0
2023-12-15,2023-12-17,Expedited,IL,Midwest,Lot's O' Nuts,2,Lot's O' Nuts → IL,1064.09,380,494.0899999999999
2023-08-01,2023-08-05,Standard,OR,West,The Other Factory,4,The Other Factory → OR,681.4,329,385.29999999999995
2023-10-05,2023-10-11,Standard,NY,Northeast,Secret Factory,6,Secret Factory → NY,408.94,175,233.94
2023-07-25,2023-07-29,Standard,NV,West,Sugar Shack,4,Sugar Shack → NV,66.54,43,45.040000000000006
2023-05-23,2023-05-27,Standard,TX,South,The Other Factory,4,The Other Factory → TX,464.79,220,266.79
2023-11-03,2023-11-05,Expedited,AZ,West,Secret Factory,2,Secret Factory → AZ,376.67,138,238.67000000000002
2023-11-04,2023-11-09,Standard,PA,Northeast,Sugar Shack,5,Sugar Shack → PA,689.71,445,467.21000000000004
2023-02-04,2023-02-08,Expedited,AZ,West,Sugar Shack,4,Sugar Shack → AZ,308.18,205,205.68
2023-04-30,2023-05-03,Standard,WA,West,The Other Factory,3,The Other Factory → WA,350.11,168,198.91000000000003
2023-08-08,2023-08-17,Standard,CA,West,Wicked Choccy's,9,Wicked Choccy's → CA,262.82,113,127.22
2023-04-15,2023-04-19,Expedited,WI,Midwest,Lot's O' Nuts,4,Lot's O' Nuts → WI,1251.84,388,669.8399999999999
2023-03-10,2023-03-20,Standard,TX,South,Sugar Shack,10,Sugar Shack → TX,534.7,394,337.70000000000005
2023-06-19,2023-06-23,Standard,OH,Midwest,Sugar Shack,4,Sugar Shack → OH,653.61,420,443.61
2023-04-24,2023-04-30,Standard,CT,Northeast,The Other Factory,6,The Other Factory → CT,658.24,332,359.44
